Subaru,Forester,2017,01720,Faculty Full-Time 
Honda,CR-V,2008,01720,Faculty Full-Time 
Toyota,Corolla,2011,01720,Staff-NonExempt FT
BMW,3-Series,2008,01720,Faculty Full-Time 
Honda,Fit,2013,01720,Staff-Exempt FT   
Volvo,S60,2004,01720,Staff-Exempt FT   
Toyota,Prius,2011,01720,Staff-Exempt FT   
Toyota,Corolla,2016,01720,Faculty Part-time 
Toyota,Corolla,2007,01721,Staff-Exempt FT   
Honda,Accord,2014,01721,Staff-Exempt FT   
Kia,Soul,2016,01721,Staff-Exempt FT   
Toyota,Corolla,2010,01721,Staff-Exempt FT   
Volkswagen,Tiguan,2011,01721,Staff-Exempt FT   
Toyota,Yaris,2008,01721,Staff-NonExempt FT
Volkswagen,Golf,2016,01721,Staff-Exempt FT   
Subaru,Outback,2013,01721,Staff-NonExempt FT
Ford,Focus,2014,01721,Staff-Exempt FT   
Mitsubishi,Galante,2006,01721,Staff-Exempt FT   
Chevrolet,Malibu,2011,01721,Staff-Exempt FT   
Subaru,Legacy,2010,01721,Staff-Exempt FT   
Kia,Soul,2014,01721,Staff-Exempt PT   
Chevrolet,Impala,2013,01721,Staff-NonExempt FT
Honda,Civic,2011,01730,Staff-Exempt FT   
Toyota,Camry,2014,01730,Staff-Exempt FT   
Hyundai,Elantra,2008,01730,Staff-Exempt FT   
Subaru,Outback,2017,01730,Faculty Full-Time 
Honda,Civic,2010,01730,Faculty Full-Time 
Honda,Accord,2011,01730,Staff-NonComp     
Subaru,Impreza,2013,01730,Staff-NonExempt FT
Mercedes Benz,G-Class,2015,01730,Faculty Full-Time 
Toyota,Prius,2002,01730,Faculty Part-time 
Mercedes Benz,GLK-Class,2013,01740,Staff-Exempt FT   
Toyota,Prius,2012,01741,Faculty Full-Time 
Subaru,Impreza,2011,01741,Staff-Exempt FT   
Honda,Civic,2012,01741,Faculty Full-Time 
Subaru,Outback,2013,01741,Faculty Full-Time 
Honda,Accord,2009,01741,Staff-Exempt PT   
Mini Cooper,Countryman,2014,01741,Faculty Part-time 
Toyota,Sienna,2013,01742,Staff-Exempt PT   
Ford,Fusion,2008,01742,Faculty Full-Time 
Toyota,Camry,2015,01742,Staff-Exempt FT   
Honda,Fit,2010,01742,Staff-Exempt FT   
Volvo,XC90,2016,01742,Staff-Exempt FT   
Honda,Odyssey,2006,01742,Faculty Full-Time 
Subaru,Outback,2011,01742,Faculty Part-time 
Ford,Fusion,2013,01742,Faculty Part-time 
Jeep,Patriot,2010,01742,Faculty Full-Time 
Porsche,911,2006,01742,Faculty Part-time 
Toyota,Sienna,2011,01742,Faculty Part-time 
Land Rover,LR-Series,2016,01742,Faculty Part-time 
Volvo,V70,2005,01742,Faculty Part-time 
Toyota,RAV-4,2016,01742,Faculty Part-time 
Subaru,Outback,2014,01745,Staff-Exempt FT   
Audi,A4,2008,01746,Staff-Exempt FT   
Subaru,Impreza,2010,01746,Staff-Exempt FT   
Mazda,CX-9,2014,01746,Staff-NonExempt FT
Toyota,Corolla,2014,01746,Staff-Exempt FT   
Honda,Civic,2015,01746,Staff-Exempt FT   
Audi,TT,2004,01746,Faculty Full-Time 
Toyota,Yaris,2010,01746,Staff-Exempt FT   
Toyota,RAV-4,2015,01746,Faculty Full-Time 
Subaru,Outback,2011,01746,Staff-Exempt FT   
Lexus,ES-Series,2008,01746,Faculty Full-Time 
Honda,Civic,2011,01746,Faculty Full-Time 
Mitsubishi,Outlander,2016,01746,Faculty Full-Time 
Nissan,Pathfinder,2016,01746,Faculty Full-Time 
BMW,3-Series,2008,01746,Staff-Exempt FT   
Toyota,Tundra,2011,01746,Staff-NonExempt FT
Ford,Fusion,2013,01747,Faculty Full-Time 
Hyundai,Genesis,2014,01747,Faculty Full-Time 
Toyota,Tacoma,2012,01748,Staff-Exempt FT   
Nissan,Altima,2009,01748,Faculty Full-Time 
